Nom;Prénom;INE;Identifiant Classe;Date de naissance
Dupont;Marie;12345678901AA;CP-A;15/09/2018
Martin;Lucas;98765432109BB;CP-A;22/08/2018
Bernard;Sophie;11122233344CC;CP-B;03/10/2018
Dubois;Thomas;55566677788DD;CE1-A;18/07/2017
Lefebvre;Emma;99988877766EE;CE1-A;25/06/2017
Moreau;Hugo;33344455566FF;CE1-B;12/09/2017
Laurent;Léa;77788899900GG;CE2-A;30/04/2016
Simon;Louis;22211100099HH;CE2-A;08/05/2016
Michel;Chloé;66655544433II;CE2-B;19/03/2016
Garcia;Nathan;44433322211JJ;CM1-A;27/11/2015
Petit;Inès;88899900011KK;CM1-A;14/12/2015
Roux;Arthur;55544433322LL;CM1-B;21/02/2015
David;Zoé;;CM2-A;06/01/2014
Bertrand;Gabriel;;CM2-A;13/10/2014
Fontaine;Jade;22233344455MM;CM2-B;29/08/2014
