StudentID,FirstName,LastName,Class,BlockReason
101,Amira,BENALI,CP-A,
102,Lucas,DUBOIS,CP-A,
103,Léa,MARTIN,CP-A,
104,Yanis,MOHAMED,CP-A,
105,Emma,BERNARD,CP-A,
106,Adam,PETIT,CP-A,
107,Lina,DURAND,CP-A,
108,Noah,LEROY,CP-A,
109,Sarah,MOREAU,CP-A,
110,Gabriel,SIMON,CP-A,
111,Inès,LAURENT,CP-A,
112,Mathis,LEFEBVRE,CP-A,
113,Chloé,GARCIA,CP-A,
114,Enzo,ROUX,CP-A,
115,Camille,FOURNIER,CP-A,
116,Louis,GIRARD,CP-A,
117,Manon,BONNET,CP-A,
118,Hugo,DUPONT,CP-A,
119,Jade,LAMBERT,CP-A,
120,Tom,FONTAINE,CP-A,
121,Zoé,ROUSSEAU,CP-A,
122,Théo,VINCENT,CP-A,
123,Anaïs,MULLER,CP-A,
124,Nathan,LEFEVRE,CP-A,
201,Sami,ABDERRAHIM,CP-B,
202,Sofia,MARTINEZ,CP-B,
203,Rayan,HASSANI,CP-B,
204,Mila,SCHMIDT,CP-B,
205,Mehdi,OUALI,CP-B,
206,Clara,PERRIN,CP-B,
207,Youssef,KADDOURI,CP-B,
208,Louise,MOREL,CP-B,
209,Ibrahim,DIALLO,CP-B,
210,Nina,THOMAS,CP-B,
211,Amine,BENABDALLAH,CP-B,
212,Ella,ROBERT,CP-B,
213,Bilal,EL AMRANI,CP-B,
214,Rose,RICHARD,CP-B,
215,Ismaël,BOUZIANE,CP-B,
216,Juliette,PETIT,CP-B,
217,Karim,MOKRANI,CP-B,
218,Léna,CHEVALIER,CP-B,
219,Ayoub,AZZOUZ,CP-B,
220,Charlotte,GARNIER,CP-B,
221,Mohamed,SLIMANI,CP-B,
222,Margot,FAURE,CP-B,
223,Wassim,HAMIDI,CP-B,
224,Victoria,ANDRE,CP-B,
301,Adem,YILMAZ,CE1-A,
302,Célia,BLANC,CE1-A,
303,Ilyes,DJELLOUL,CE1-A,
304,Anna,ROBIN,CE1-A,
305,Samir,BOUTALEB,CE1-A,
306,Léonie,CLEMENT,CE1-A,
307,Hamza,BENCHEIKH,CE1-A,
308,Lola,GAUTHIER,CE1-A,
309,Moussa,COULIBALY,CE1-A,
310,Alice,LOPEZ,CE1-A,
311,Sofiane,MEFTAH,CE1-A,
312,Julie,ROY,CE1-A,
313,Adel,ZEMMOURI,CE1-A,
314,Eva,CARON,CE1-A,
315,Nabil,SAID,CE1-A,
316,Apolline,GIRAUD,CE1-A,
317,Malik,TOUMI,CE1-A,
318,Iris,COLIN,CE1-A,
319,Achille,VASSEUR,CE1-A,
320,Agathe,VIDAL,CE1-A,
321,Nassim,AMARA,CE1-A,
322,Mathilde,AUBERT,CE1-A,
323,Walid,FERHAT,CE1-A,
324,Romane,PICARD,CE1-A,
401,Rayane,BOUKHARI,CE1-B,
402,Inaya,BOURGEOIS,CE1-B,
403,Elias,REZKI,CE1-B,
404,Clémence,RENARD,CE1-B,
405,Naël,MANSOURI,CE1-B,
406,Victoire,LACROIX,CE1-B,
407,Yacine,BRAHIM,CE1-B,
408,Jeanne,OLIVIER,CE1-B,
409,Abdallah,MERAD,CE1-B,
410,Capucine,LAMBERT,CE1-B,
411,Fares,NACIRI,CE1-B,
412,Louane,DUMAS,CE1-B,
413,Redouane,CHERIF,CE1-B,
414,Pauline,CARPENTIER,CE1-B,
415,Riad,LAHLOU,CE1-B,
416,Augustine,LECLERC,CE1-B,
417,Imran,GHAZI,CE1-B,
418,Constance,BERTRAND,CE1-B,
419,Souleyman,OULD,CE1-B,
420,Eloïse,SCHNEIDER,CE1-B,
421,Mehdi,BELAIDI,CE1-B,
422,Eléonore,MARCHAND,CE1-B,
423,Saïd,BOUMEDIENE,CE1-B,
424,Justine,ROYER,CE1-B,
501,Abdelrahman,OUADAH,CE2,
502,Noémie,BARBIER,CE2,
503,Zakariya,TAIEB,CE2,
504,Blanche,BLANCHARD,CE2,
505,Amir,KABIR,CE2,
506,Adèle,JOLY,CE2,
507,Riyad,LAKHDAR,CE2,
508,Chloé,GILLES,CE2,
509,Nassim,DRIDI,CE2,
510,Zoé,GUILLAUME,CE2,
511,Yassin,MEDJAHED,CE2,
512,Manon,CHEVALLIER,CE2,
513,Salim,RAHMOUNI,CE2,
514,Héloïse,BOYER,CE2,
515,Ilyas,BENSAID,CE2,
516,Océane,LEMOINE,CE2,
517,Marwan,KHELIFA,CE2,
518,Luna,GONZALEZ,CE2,
519,Anis,LATRACHE,CE2,
520,Maëlys,ROCHE,CE2,
521,Issa,BARKAT,CE2,
522,Jade,DUVAL,CE2,
523,Farid,MEZIANE,CE2,
524,Alicia,LEGRAND,CE2,
601,Abdellah,RABHI,CM1-A,
602,Laurine,HENRY,CM1-A,
603,Soufiane,MAZOUZ,CM1-A,
604,Diane,JACQUET,CM1-A,
605,Younes,BOUTAYEB,CM1-A,
606,Margaux,RENAUD,CM1-A,
607,Zakaria,DAHMANI,CM1-A,
608,Salomé,NOEL,CM1-A,
609,Hassan,OUARDI,CM1-A,
610,Valentine,BRUN,CM1-A,
611,Houssem,BENHAMOU,CM1-A,
612,Ambre,PEREZ,CM1-A,
613,Rachid,LARBI,CM1-A,
614,Estelle,LESAGE,CM1-A,
615,Tarik,SEBTI,CM1-A,
616,Gabrielle,DENIS,CM1-A,
617,Imane,AMAR,CM1-A,
618,Raphaël,GUERIN,CM1-A,
619,Lyna,BELKACEM,CM1-A,
620,Baptiste,JOUBERT,CM1-A,
621,Selma,KHALED,CM1-A,
622,Axel,PERROT,CM1-A,
623,Assia,TALEB,CM1-A,
624,Mathéo,POIRIER,CM1-A,
701,Amine,BENAMAR,CM1-B,
702,Camille,REYNAUD,CM1-B,
703,Samy,MEDJAOUI,CM1-B,
704,Anaëlle,DUMONT,CM1-B,
705,Kamel,ZAOUI,CM1-B,
706,Maeva,BLANC,CM1-B,
707,Rayan,KADRI,CM1-B,
708,Léa,PHILIPPE,CM1-B,
709,Faycal,MANSOUR,CM1-B,
710,Elise,MERCIER,CM1-B,
711,Hicham,BOUDJELLAL,CM1-B,
712,Lucie,LEMAIRE,CM1-B,
713,Djamel,HAMZA,CM1-B,
714,Eléa,MEYER,CM1-B,
715,Omar,BADAOUI,CM1-B,
716,Marion,LECLERC,CM1-B,
717,Sofian,MOUSSAOUI,CM1-B,
718,Inès,GIRARD,CM1-B,
719,Mustapha,RAHMANI,CM1-B,
720,Lise,SANCHEZ,CM1-B,
721,Hakim,ZIANE,CM1-B,
722,Fanny,AUBRY,CM1-B,
723,Nasser,BOUAZIZ,CM1-B,
724,Chloé,DAVID,CM1-B,
801,Samir,DEHIMI,CM2-A,
802,Morgane,GAUTIER,CM2-A,
803,Yassine,MAHMOUDI,CM2-A,
804,Apolline,FABRE,CM2-A,
805,Mourad,BELHADJ,CM2-A,
806,Lisa,RENAULT,CM2-A,
807,Hamed,BOUZID,CM2-A,
808,Pauline,LEJEUNE,CM2-A,
809,Tahar,MEBARKI,CM2-A,
810,Léonie,DUPUIS,CM2-A,
811,Faouzi,SAADI,CM2-A,
812,Justine,MEUNIER,CM2-A,
813,Saïd,BENALI,CM2-A,
814,Clarisse,PREVOST,CM2-A,
815,Larbi,KACI,CM2-A,
816,Elsa,CHARLES,CM2-A,
817,Mounir,BENAMEUR,CM2-A,
818,Noémie,HERNANDEZ,CM2-A,
819,Aziz,CHAOUI,CM2-A,
820,Maëlle,BONNET,CM2-A,
821,Ridha,BOURAS,CM2-A,
822,Céline,FONTAINE,CM2-A,
823,Karim,NOUALI,CM2-A,
824,Carla,PERRIN,CM2-A,
901,Rachid,HAMDI,CM2-B,
902,Océane,ROUSSEL,CM2-B,
903,Kamel,ZEGHAD,CM2-B,
904,Léa,BARBIER,CM2-B,
905,Farid,BENABDELLAH,CM2-B,
906,Margot,NICOLAS,CM2-B,
